time,position
34.278181184999994,-1306
34.298474414,-1309
34.318762850999974,-1313
34.33837300799996,-1317
34.35787269499997,-1321
34.37932681000001,-1326
34.39964472599996,-1331
34.41834384099997,-1337
34.437813319999975,-1343
34.45806404899997,-1349
34.478298215999985,-1355
34.497763944999974,-1361
34.517978008,-1366
34.538177434999966,-1371
34.55767331999999,-1376
34.57788217399997,-1380
34.596524569999985,-1384
34.616686080999955,-1388
34.636992539000005,-1392
34.657214100999965,-1394
34.674851079999996,-1396
34.69433607999997,-1397
34.71183811199995,-1397
34.73199602799997,-1398
34.750695871999994,-1398
34.76687378899999,-1398
34.787024204999966,-1398
34.807247329999996,-1399
34.82744055999996,-1399
34.84698722599995,-1399
34.86461029899999,-1399
34.880663997,-1400
34.90087983000001,-1400
34.91703904899998,-1400
34.93720613199997,-1401
35.62478592399998,-1499
35.64595399699999,-1516
35.66714571599999,-1533
35.68756535099999,-1548
35.70391514299996,-1561
35.72472149699996,-1570
35.74573269499996,-1579
35.76700383999997,-1585
35.78808894499997,-1589
35.80692186099998,-1590
35.823097485999995,-1591
35.84403665299999,-1591
35.86500347599997,-1591
35.886238006999974,-1591
35.90730290299996,-1591
35.92838316299998,-1592
35.948829257,-1593
35.96744566299998,-1595
35.98604873599999,-1597
36.006241913,-1601
36.026341652999974,-1606
36.04501800699995,-1611
36.06362998599997,-1616
36.08222696499996,-1621
36.102497433999986,-1627
36.121158839999964,-1632
36.141243214999974,-1636
36.159845507,-1640
36.17938342399998,-1643
36.198845194,-1645
36.217506912999966,-1647
36.23768769399999,-1648
36.25630451699999,-1648
36.274981912999976,-1649
36.295132954999985,-1649
36.31526597599998,-1650
36.33417613199998,-1650
36.35432477799998,-1651
36.37295571499999,-1652
36.391521652999984,-1652
36.411832538,-1653
36.430481964999956,-1654
36.448153110999954,-1655
36.468263683999965,-1656
36.48696727800001,-1657
36.505563318999975,-1660
36.524132589999965,-1663
36.54433196499997,-1666
36.56293201699998,-1670
36.58148618399997,-1673
36.600146964999965,-1677
36.61952550699999,-1680
36.638257017,-1684
36.656933944,-1686
36.67551003799997,-1687
36.694107798000005,-1688
36.714323476000004,-1688
36.732900350999955,-1688
36.753060559000005,-1688
36.773185610999974,-1688
36.791743892,-1688
36.81030951700001,-1688
36.82890227799999,-1688
36.84754269399997,-1688
36.86616706899997,-1688
36.886285611000005,-1688
36.90488717299996,-1688
36.92355904799996,-1688
36.943647903,-1688
36.96391227800001,-1688
36.98252389199996,-1688
37.001161079999974,-1688
37.019719517,-1688
37.038341912999954,-1688
37.057845662999966,-1688
37.076443944000005,-1688
